0.66,0.8,0.633333333333333,0.94820788530466,0.300963277759616,0.716666666666667,0.0761577310586391,0.142521928137392,0.114928746534735,0.0337393323477553,0.0392784282734557,0.0294176518884561,0.76,0.56,0.66,0.7,0.62,100,1,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.652,0.7,0.642857142857143,0.917605008594997,0.294236750387622,0.671428571428571,0.114542568506211,0.0684653196881458,0.145802960879951,0.0127596733890899,0.0941794665123389,0.0525952731250827,0.66,0.82,0.66,0.5,0.62,100,1,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.64,0.725,0.623809523809524,0.933096993096993,0.274871794871795,0.674404761904762,0.0948683298050514,0.223606797749979,0.153751278961552,0.0471144511060968,0.0274460800658239,0.0417516140875004,0.7,0.74,0.68,0.56,0.52,100,1,0.0001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.592,0.725,0.566666666666667,0.912593073593074,0.251595228301111,0.645833333333333,0.102567051239665,0.0559016994374947,0.118331177521802,0.0254964775948698,0.0652477841366456,0.0729622063817337,0.64,0.58,0.74,0.52,0.48,100,1,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.648,0.825,0.614285714285714,0.953640211640212,0.296176924524751,0.719642857142857,0.0729383301152419,0.142521928137392,0.112183037994188,0.0326805656676563,0.0369663460044667,0.025201146583353,0.64,0.76,0.56,0.62,0.66,100,1,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.664,0.75,0.647619047619048,0.930614119593247,0.296157894736842,0.698809523809524,0.074027022093287,0,0.088127407253913,0.00883375240795825,0.0545447032601665,0.0440637036269565,0.76,0.7,0.68,0.6,0.58,100,1,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.74,0.8,0.728571428571429,0.950329768270945,0.361421568627451,0.764285714285714,0.0346410161513776,0.0684653196881458,0.0361089306859598,0.0167786918167102,0.0434976865046546,0.0423728423219391,0.72,0.8,0.72,0.72,0.74,100,1,0.00001,0.01,5,
acc,tnr,tpr,ppv,npv,auc,std_acc,std_tnr,std_tpr,std_ppv,std_npv,std_auc,acc1,acc2,acc3,acc4,acc5,epochs,batch_size,lr,weight_decay,patience,
0.708,0.9,0.671428571428571,0.971096774193548,0.347749373433584,0.785714285714286,0.0769415362466854,0.136930639376292,0.0722178613719195,0.0399541881259441,0.0710802534791349,0.0962557239809299,0.74,0.58,0.78,0.74,0.7,100,16,0.00001,0.01,5,
