id,bg,bg_trunk
735,146133.9124,38675.36221765747
32,96117.12217,37186.57254841797
872,70629.54422,29919.073565892133
26,95748.2481,26189.899550084898
866,119442.865,46738.641367187505
696,94792.57813,34454.687504999994
682,121451.0411,64450.81244453337
669,84957.44092,30434.778932695306
655,108765.5735,32279.243467651366
133,96785.43484,58288.02717698365
127,210252.4213,68296.28257538684
899,159717.4769,82555.83689988777
641,113426.8951,43861.751514794916
494,91203.7738,41226.25414667968
480,99554.68287,42480.66162595093
319,117006.3223,39502.171024365234
331,95954.04366,53738.36677784096
457,93344.53227,41164.71286862788
443,78573.5278,23755.975569165035
325,84772.24805,38299.491214062495
455,113102.1876,56164.3047913147
333,79317.25293,30066.34079773682
327,83760.51447,26490.514347929682
441,96928.46594,38316.6930518164
469,109086.9373,57232.779585156255
496,113778.8027,54891.02163310547
482,105465.367,44818.57701776306
131,99882.53431,41461.190267693826
657,84463.06122,33154.96220190308
643,122786.1154,50454.22004096069
125,74261.14855,28173.620511975096
119,115984.6692,40917.536373592666
694,94957.75771,52231.632214702404
858,171961.9938,74118.98308833007
680,82396.42565,32175.5475867981
18,133606.9679,39578.619853857206
870,145417.3796,56341.373503745766
30,143710.6647,37029.350231616205
864,112120.7132,49027.993493948576
24,111016.5596,47457.628249291985
723,66732.48829,28004.38320271972
737,110902.5383,34514.80865522461
904,109144.3287,47912.49061101074
910,92618.35938,48503.125004999994
521,148593.75,38485.107421875
247,139016.1192,55046.73031450194
253,111546.8157,55970.209527989166
535,116829.7877,39210.48836833496
509,92064.55706,32811.010550044
284,95867.06885,38598.977541406246
290,103950.3022,23001.910329302496
291,127873.7025,56313.63884033203
285,91504.52184,41213.278583039755
508,81514.54916,27521.86744308105
252,117837.1033,53411.84695234375
534,73721.2667,28751.740196888968
520,139195.2127,60696.010788131054
246,117874.1821,28323.303193750005
911,111153.2419,46823.107529589084
905,119827.9907,42386.07785820312
736,91011.63912,32883.72459592164
722,91601.95313,32749.609379999994
25,142413.4158,68379.26077070311
865,67829.10671,17529.51656891324
31,84927.72003,25468.450841558886
871,110397.3866,40685.043384057615
19,83451.63672,37695.591798124995
681,126162.3672,60325.63087187499
859,178387.388,41484.83195629064
695,93843.94297,22362.944080076908
118,158082.3303,43288.56848419245
642,101509.3465,45340.86096151733
124,113174.0292,47997.753179087704
130,77960.55526,24909.707560223505
656,114768.9461,56102.60183120117
483,110853.7901,49042.108459375
497,117835.8502,66413.22800358014
468,131107.0623,46186.220747265616
326,110294.0237,30241.713153125005
440,110816.0809,42975.91728763428
454,121346.2189,53572.279351507575
332,119332.1228,36613.14696992187
369,141108.0968,48417.56152167969
433,88491.78186,37279.524562484134
355,122584.7966,45277.45235538541
341,103065.8691,23864.95009365234
427,94532.94827,28117.088742412103
396,107670.3938,40584.556885937505
382,121741.815,39706.2064135392
95,104874.7744,51549.903306249995
81,131376.0538,57939.86935768006
619,70871.2065,27553.166225677727
157,132406.875,58980.375
631,110046.6905,44810.6911904602
625,124304.8073,53852.569598583985
143,92404.51889,27558.58868370118
4,113661.9473,54918.54672626953
816,142970.8021,36952.52086525879
56,105002.2921,27912.956025170904
802,119890.3502,38676.738736826184
42,95005.82241,39816.03288347528
194,74133.16832,36701.94020491821
180,107564.7671,31894.642608831113
779,103780.1338,43798.965831249996
745,120275.662,56637.71351367187
751,81775.09554,42746.18410201171
786,106637.9127,35507.40544055212
792,95479.6875,41914.453125
209,108975.5817,56180.198010119624
547,84680.94043,33696.3886721875
221,141441.0911,60834.606175683584
235,82302.01721,39909.89684867188
553,98481.33037,41898.51593594848
584,90046.09299,40056.085970957036
590,97410.58472,37008.67602859375
591,114513.3686,50072.64136611328
585,97209.37312,43014.54992358887
234,92562.02974,36092.76065506958
552,140074.0808,42765.229629520545
546,101985.3252,29975.083882250983
220,121858.9233,34676.147421093745
208,86048.14272,32479.580734984134
793,106948.1439,38716.271410070796
787,69148.28831,28814.111492191245
750,92509.375,25489.453125
744,93027.73438,51719.531254999994
778,113360.457,46106.671843749995
181,124566.9143,30722.732133924743
195,98629.06348,30463.610599140622
43,140254.5088,53133.84864375001
803,89039.79683,35676.773072065436
5,121722.106,54540.915604644775
57,188507.7513,27705.609642501455
817,110325.9645,43253.17216067505
624,90048.32446,34459.41357132813
142,86807.83841,24125.449463466794
156,122937.9314,56552.178020178224
630,112672.205,42237.41534240723
618,108829.6301,54235.82858632812
80,169634.1876,59671.599972589116
94,119021.1548,46308.52662617188
383,127269.4443,33088.84664375
397,133139.682,71725.72478564453
340,73068.65503,31459.48291085937
426,117940.4297,50257.67213164062
432,103239.0045,45499.20808276367
354,115144.6838,51863.4338
368,110960.2484,49301.069662359616
418,114886.9109,31468.001399230692
424,87937.08687,39345.26329211914
342,103120.0448,34021.65257282715
356,99468.88464,28210.89389445557
430,103968.1223,45162.619333964954
381,122537.2822,62571.596827404945
395,142144.6005,54075.75112119796
82,71177.70386,21961.47461195312
96,86476.06645,38774.72817790527
168,165665.1444,84921.87295962563
140,116225.1827,35099.75430749633
626,122340.5045,68776.26042921975
632,99320.76154,44221.7961469336
154,138273.75,59044.5
801,92023.29828,39741.58300994759
41,123786.3936,60606.87205458984
815,92813.28125,52844.921875
55,108733.1704,53681.01782355347
7,89463.93463,29623.548190758367
183,122725.8267,64037.384469775396
829,125156.4621,38799.95215487128
69,94144.98395,42541.58166728515
197,97300.25211,40400.36798905884
752,119814.9026,50793.91174368518
746,109184.742,34143.772151367186
791,90189.60126,36485.73887901855
785,107105.2851,45217.82530503674
578,132775.2314,69118.29115341796
550,106588.1052,36044.76751155396
236,112262.5298,48505.4603267334
222,85267.61453,26766.592780738785
544,137020.8596,70889.09666054687
593,82711.16918,22864.16492279785
587,90990.9234,27843.586714819336
586,96641.41313,21070.41377086914
592,114589.0713,32246.99976679687
223,151094.9707,65293.579098437505
545,98361.30428,38231.07892876327
551,116174.6078,30548.921849542923
237,95996.41698,24240.75090333984
579,116631.2746,28094.827025384526
784,110761.4908,49355.836931967344
790,126408.9735,37176.32963799608
747,133816.3951,51067.68697011718
753,66975.39629,33755.90445345215
68,98451.36011,37488.844484999994
828,71642.30661,37141.883750808105
196,118672.1191,32723.327596093746
182,92657.53757,33516.20412689189
54,94425.30011,47085.9071046289
814,113461.6533,36767.092936230474
6,119470.9194,45457.32986048078
40,126269.0592,51708.61585588379
800,151908.9493,65741.06223411256
633,125608.7538,57495.507931317145
155,88426.38025,37999.327816986086
141,90120.13544,33650.17497386921
627,124006.648,56023.429219059006
97,142663.8286,55445.94768944956
169,158146.4894,46236.826397579556
83,84506.76388,26216.655176386717
394,103322.4976,48232.78193083466
380,125616.9651,65100.58016652832
357,133239.4807,44113.665270312486
431,76440.76704,30731.685390219733
425,90524.15689,28924.864836777342
343,103425.3517,29355.985627423695
419,78742.05018,34482.803815213134
347,111805.3652,34082.212795214844
421,82638.81683,23251.87682755859
435,95776.33349,28851.419549570317
353,133775.1483,36104.28226835327
409,104711.3464,38453.810084082026
384,101001.5078,38190.56160630494
390,135607.7866,53123.55245006713
623,123545.2404,59325.14457861938
145,113399.2509,60774.30594096733
151,77400.47311,31539.73002909052
637,77152.99529,28903.1011859961
87,99624.3324,25716.584208178407
179,124527.7182,56394.235779416136
93,99652.21875,42910.9365234375
838,122092.7158,47744.63048038035
78,127980.7986,26648.281800073237
186,111742.8184,42804.80683657114
192,112245.638,38373.80226493407
804,93619.14063,54671.484379999994
44,121025.7233,73878.00345136719
2,93938.6099,42453.0256302626
810,109232.3315,47334.90792656248
50,133921.4993,28306.719741062363
